Postal Code,Latitude,Longitude
400001,18.958,72.8214
400002,19.1599,72.9992
400003,19.1018,72.8904
400004,19.2072,72.8348
400005,19.1121,72.8611
400006,18.9541,72.8004
400007,18.9618,72.8134
400008,19.2393,72.9874
400009,19.2059,72.8661
400010,18.9553,72.8401
400011,19.1721,72.9483
400012,19.2591,72.8338
400013,19.157,72.9327
400014,19.0148,72.8455
400015,18.9961,72.8528
400016,19.1872,72.8407
400017,19.1648,72.8533
400018,18.9985,72.8174
400019,19.0269,72.8554
400020,18.9351,72.8264
400021,18.9256,72.8242
400022,19.0741,72.8804
400024,19.0611,72.8792
400025,19.0158,72.8294
400026,18.9706,72.8095
400027,18.9793,72.8383
400028,19.0217,72.8375
400029,19.0797,72.8679
400030,19.0122,72.8219
400031,19.0133,72.8549
400032,18.929,72.8301
400033,18.9856,72.8442
400034,18.9724,72.8148
400035,18.9417,72.7936
400037,19.1839,72.8584
400042,19.1338,72.938
400043,18.9484,72.8259
400049,19.1047,72.8268
400050,19.1283,72.8677
400051,18.9671,72.8287
400052,19.0717,72.8341
400053,19.163,72.8393
400054,19.082,72.8345
400055,18.9982,72.8275
400056,19.1045,72.8395
400057,19.1007,72.8485
400058,19.1119,72.879
400059,19.0633,72.9258
400061,19.1427,72.8053
400067,18.9995,72.8397
400069,19.0893,72.9078
400070,19.1368,72.8579
400071,19.1239,72.9094
400072,19.1888,72.8197
400074,19.0456,72.8537
400075,19.0456,72.8537
400076,19.0456,72.8537
400077,19.0456,72.8537
400078,19.0456,72.8537
400079,19.0456,72.8537
400080,18.981,72.8268
400081,18.981,72.8268
400082,18.981,72.8268
400083,18.981,72.8268
400084,18.981,72.8268
400085,18.981,72.8268
400086,19.1227,72.8302
400087,19.1227,72.8302
400088,19.1419,72.8344
400089,19.1419,72.8344
400093,18.9702,72.846
400094,18.9702,72.846
400096,18.9702,72.846
400098,18.9702,72.846
400099,18.9104,72.8198
